Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Toto,38,0.3110,04.10.1992,http://streamd.hitparade.ch/audio/0000000/0002515.mp3,,http://streamd.hitparade.ch/cdimages/toto-dont_chain_my_heart_s.jpg,04.10.1992,http://youtu.be/iXiQGXhHLOM,Don't Chain My Heart,0.67,0002515
Tory Lanez,58,0.6880,02.10.2016,http://streamd.hitparade.ch/audio/1560000/1565062.mp3,,http://streamd.hitparade.ch/cdimages/tory_lanez-luv_s.jpg,04.09.2016,http://youtu.be/P9rFeGAdX0A,Luv,0.24,1565062
Tori Amos,22,0.7500,16.03.1997,http://streamd.hitparade.ch/audio/0000000/0003380.mp3,,http://streamd.hitparade.ch/cdimages/tori_amos-professional_widow_(its_got_to_be_big)_s.jpg,09.02.1997,,Professional Widow (It's Got To Be Big),0.60,0003380
Toploader,53,0.6390,24.09.2000,http://streamd.hitparade.ch/audio/0000000/0004429.mp3,,http://streamd.hitparade.ch/cdimages/toploader-dancing_in_the_moonlight_s.jpg,17.09.2000,http://youtu.be/0yBnIUX0QAE,Dancing In The Moonlight,0.86,0004429
Tony Bennett & Amy Winehouse,35,0.3420,02.10.2011,http://streamd.hitparade.ch/audio/0900000/0900497.mp3,,http://streamd.hitparade.ch/cdimages/tony_bennett_amy_winehouse-body_and_soul_s.jpg,25.09.2011,http://youtu.be/_OFMkCeP6ok,Body And Soul,0.20,0900497
Toni Braxton,36,0.6240,15.10.2000,http://streamd.hitparade.ch/audio/0000000/0004458.mp3,,http://streamd.hitparade.ch/cdimages/toni_braxton-spanish_guitar_s.jpg,08.10.2000,http://youtu.be/bvd3qCnsAaY,Spanish Guitar,0.38,0004458
Toni Braxton,38,0.8150,15.12.2002,http://streamd.hitparade.ch/audio/0000000/0005409.mp3,,http://streamd.hitparade.ch/cdimages/toni_braxton-hit_the_freeway_s.jpg,08.12.2002,,Hit The Freeway,0.80,0005409
Tone Loc,23,0.9490,23.04.1989,http://streamd.hitparade.ch/audio/0000000/0001942.mp3,,http://streamd.hitparade.ch/cdimages/tone_loc-wild_thing_s.jpg,09.04.1989,,Wild Thing,0.80,0001942
Tommy Reeve,65,0.6460,23.09.2007,http://streamd.hitparade.ch/audio/0330000/0338689.mp3,,http://streamd.hitparade.ch/cdimages/tommy_reeve-im_sorry_s.jpg,16.09.2007,http://youtu.be/L2o0xI-sX9w,I'm Sorry,0.15,0338689
Tomer G,67,0.6440,13.07.2008,http://streamd.hitparade.ch/audio/0470000/0474774.mp3,,http://streamd.hitparade.ch/cdimages/tomer_g-seven_nation_army_s.jpg,06.07.2008,,Seven Nation Army,0.20,0474774
